component,value,status,interpretation
fast_core,"V7_1_neuroglial_gate_qpu.py",CORE_UNCHANGED,"Same CRY/G-G/CCRY quantum-formal primitives as V7.1"
plasticity_engine,"V7_1_SPATIAL_EVOLVING_NETWORK.py",CORE_UNCHANGED,"Same slow traces, spatial candidate generation, competition and hysteresis"
total_qubits,14,QPU_PRACTICE,"Reduced hardware footprint; 7 neuronal and 7 glial qubits"
layers,1,QPU_PRACTICE,"Shallow fast circuit chosen to reduce physical-QPU population flattening"
N0_role,"partial-sum input population",TASK_ABSTRACTION,"Population-code role, not a literal arithmetic neuron"
N1_role,"current addend / operand-a population",TASK_ABSTRACTION,"Population-code role, not a literal arithmetic neuron"
N4_role,"maintained repetition-demand / operand-b context",TASK_ABSTRACTION,"Working-memory/sequence-context abstraction"
N2_N3_to_G0,"fixed N2/N3 -> G0 coupling",MODEL_HYPOTHESIS,"Repeated local circuit activity contributes to a slow astrocytic history state"
N4_to_G1,"fixed N4 -> G1 coupling",MODEL_HYPOTHESIS,"Maintained task context can recruit a distinct local astrocytic state"
G0_G1_local_affinity,1.0,MODEL_HYPOTHESIS,"Local possibility constraint; does not force activation"
product_candidate,"AUTO_TRI_N1_G1_N6",AUTO_GENERATED,"Generated from local domain; not listed in candidate_edges"
candidate_edges,"[]",STRUCTURAL_SAFEGUARD,"No exact future edge is supplied by the task configuration"
training_operands,"1,2,3",TASK_BENCHMARK,"Repeated-addition experience only"
holdout_operand,4,VALIDATION_ONLY,"Never used in topology training; tests out-of-training-range generalization"
product_label_to_plasticity,false,STRUCTURAL_SAFEGUARD,"a*b is not supplied to trace or edge updates"
product_decoder,"affine beta0+beta1*P(N6)",VALIDATION_ONLY,"Fit only after training on calibration pairs from operands <=3"
shots_QPU,3000,QPU_PRACTICE,"Hardware-practical primary profile"
targeted_product_ablation,true,CAUSAL_VALIDATION,"Reuses trained trajectory and removes only the product tripartite route"
topology_reset,true,CAUSAL_VALIDATION,"Reuses trained trajectory and removes all learned candidate states"
