parameter,value,status,source_or_rationale,claim_allowed
F-Con pairings,3,EMPIRICAL,Bukalo2026 Methods,Exact experimental schedule
CS duration,30 s,EMPIRICAL,Bukalo2026 Methods,Exact experimental parameter
CS intensity,75 dB white noise,EMPIRICAL,Bukalo2026 Methods,Exact experimental parameter
US duration,2 s,EMPIRICAL,Bukalo2026 Methods,Exact experimental parameter
US intensity main,0.6 mA,EMPIRICAL,Bukalo2026 Methods,Exact main-experiment parameter
US intensity chemogenetic,0.4 mA,EMPIRICAL,Bukalo2026 Methods,Exact chemogenetic-experiment parameter
F-Con inter-CS interval,60-90 s variable,EMPIRICAL,Bukalo2026 Methods,Exact experimental parameter
Extinction schedule,25 CS/day x 2 days,EMPIRICAL,Bukalo2026 Fig1/Methods,Exact fibre-photometry schedule
Extinction inter-CS interval,60 s,EMPIRICAL,Bukalo2026 Methods,Exact fibre-photometry parameter
E-Ret,5 CS Context B,EMPIRICAL,Bukalo2026 Methods,Exact experimental schedule
F-Ren,5 CS Context A,EMPIRICAL,Bukalo2026 Methods,Exact experimental schedule
E-Ext freezing,70.784%,EMPIRICAL,MOESM6 Fig1d source data,External validation target
L-Ext freezing,28.627%,EMPIRICAL,MOESM6 Fig1d source data,External validation target
E-Ret freezing,34.706%,EMPIRICAL,MOESM6 Fig1d source data,External validation target
F-Ren freezing,83.529%,EMPIRICAL,MOESM6 Fig1d source data,External validation target
E-Ext astrocyte transients,7.353,EMPIRICAL,MOESM6 Fig1h source data,External validation target
L-Ext astrocyte transients,4.882,EMPIRICAL,MOESM6 Fig1h source data,External validation target
E-Ret astrocyte transients,4.824,EMPIRICAL,MOESM6 Fig1h source data,External validation target
F-Ren astrocyte transients,9.786,EMPIRICAL,MOESM6 Fig1h source data,External validation target
hM3Dq early retrieval scalar,0.5239,DERIVED_EMPIRICAL,Fig2e hM3Dq/control E-Ext freezing ratio,Phenomenological perturbation scalar only
